source	time	heading	story	url
Analytics India Magazine	1549518300	Why Learning Data Visualization Should Be On Every Data Science Aspirant's Radar	Analytix Lab's Business Analytics 360 is aimed at beginners who need to upskill the basics of Excel, SQL, Tableau and learn advanced tools like SAS, Python.	https://news.google.com/articles/CAIiEBUbEdHlZMt5jy36jzOczV0qGQgEKhAIACoHCAowiv6GCzDhmIUDMKKElgY?hl=en-IN&gl=IN&ceid=IN%3Aen
SDxCentral	1548748800	IBM and Google Create New Certifications for Data Scientist and Cloud Skills	IBM and Google have recently launched new certification programs for data scientist and cloud skills as demand continues to surge.	https://news.google.com/articles/CBMifmh0dHBzOi8vd3d3LnNkeGNlbnRyYWwuY29tL2FydGljbGVzL25ld3MvaWJtLWFuZC1nb29nbGUtY3JlYXRlLW5ldy1jZXJ0aWZpY2F0aW9ucy1mb3ItZGF0YS1zY2llbnRpc3QtYW5kLWNsb3VkLXNraWxscy8yMDE5LzAxL9IBzQFodHRwczovL3d3dy1zZHhjZW50cmFsLWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL3d3dy5zZHhjZW50cmFsLmNvbS9hcnRpY2xlcy9uZXdzL2libS1hbmQtZ29vZ2xlLWNyZWF0ZS1uZXctY2VydGlmaWNhdGlvbnMtZm9yLWRhdGEtc2NpZW50aXN0LWFuZC1jbG91ZC1za2lsbHMvMjAxOS8wMS9hbXAvP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl?hl=en-IN&gl=IN&ceid=IN%3Aen
City A.M.	1549845360	City Moves for 11 February – who's switching jobs at Quickbooks, Trowers & Hamlins and Just Eat?	Today's City Moves cover Quickbooks, Trowers & Hamlins and Just Eat.	https://news.google.com/articles/CBMiUmh0dHA6Ly93d3cuY2l0eWFtLmNvbS8yNzMwMzcvY2l0eS1tb3Zlcy0xMS1mZWJydWFyeS13aG9zLXN3aXRjaGluZy1qb2JzLXF1aWNrYm9va3PSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen
TDWI	1548316800	Data Digest: Trends in Data Privacy, Data Science Hiring, and Second Jobs	Why data privacy is important in 2019, how the data science job market is going, and popular side jobs.	https://news.google.com/articles/CBMiPWh0dHBzOi8vdGR3aS5vcmcvYXJ0aWNsZXMvMjAxOS8wMS8yNC9hZHYtYWxsLXRyZW5kcy0wMTI0LmFzcHjSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen
Analytics India Magazine	1548316800	Is It Possible To Learn Data Science & Machine Learning Without Mathematics?	Whether is it mandatory or not to know mathematics before the dreamers step their foot in the world of data science and machine learning.	https://news.google.com/articles/CAIiELAd5FMe6420HKufMgIKDhQqGQgEKhAIACoHCAowiv6GCzDhmIUDMKKElgY?hl=en-IN&gl=IN&ceid=IN%3Aen
Chron.com	1548403200	Flatiron School to open data science boot camp in Houston	Flatiron School, the coding school owned by WeWork, is opening a data science boot camp in Houston. Boot camps have become a popular way to learn new ...	https://news.google.com/articles/CBMiZ2h0dHBzOi8vd3d3LmNocm9uLmNvbS90ZWNoYnVyZ2VyL2FydGljbGUvRmxhdGlyb24tU2Nob29sLXRvLW9wZW4tZGF0YS1zY2llbmNlLWJvb3QtY2FtcC1pbi0xMzU2MTEwNi5waHDSAakBaHR0cHM6Ly93d3ctY2hyb24tY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3Mvd3d3LmNocm9uLmNvbS90ZWNoYnVyZ2VyL2FtcC9GbGF0aXJvbi1TY2hvb2wtdG8tb3Blbi1kYXRhLXNjaWVuY2UtYm9vdC1jYW1wLWluLTEzNTYxMTA2LnBocD9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ?hl=en-IN&gl=IN&ceid=IN%3Aen
Business Daily	1549795830	NEWS INDEPTH: Women in Kenya closing gender gap in science	The number of women in science and technical professions in Kenya has increased steadily, raising hope of bridging the gender gap in a segment skewed in ...	https://news.google.com/articles/CBMifGh0dHBzOi8vd3d3LmJ1c2luZXNzZGFpbHlhZnJpY2EuY29tL2RhdGFodWIvV29tZW4taW4tS2VueWEtY2xvc2luZy1nZW5kZXItZ2FwLWluLXNjaWVuY2UtLzM4MTU0MTgtNDk3NTM0MC1hNWRrc2t6L2luZGV4Lmh0bWzSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen
Raleigh News & Observer	1549574040	Infosys partners with NC State to train its newest hires in data science	One of the reasons North Carolina was able to convince information technology company Infosys to expand in Raleigh — besides $25 million in incentives ...	https://news.google.com/articles/CAIiEJrAgaFrk0NmUb9NXo3k-_sqGQgEKhAIACoHCAownob-CjCUzPYCMK_h3AU?hl=en-IN&gl=IN&ceid=IN%3Aen
Rigzone	1549553052	Oil and Gas Employment Starts 2019 Positively	This time two years ago, the oil and gas industry was lamenting job losses due to the downturn and many disconcerted oil and gas professionals sought out ...	https://news.google.com/articles/CBMibmh0dHBzOi8vd3d3LnJpZ3pvbmUuY29tL25ld3Mvb2lsX2FuZF9nYXNfZW1wbG95bWVudF9zdGFydHNfMjAxOV9wb3NpdGl2ZWx5LTA3LWZlYi0yMDE5LTE1ODEwNC1hcnRpY2xlLz9hbGw9aGcy0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen
Forbes	1549537080	Google Decision Scientist Splits AI Science, From Science Fiction	We're writing about and discussing Artificial Intelligence (AI) all the time now. What's really going on currently is a human understanding process where we're ...	https://news.google.com/articles/CAIiEGX62EVf_NTT1on5y49SyyQqFQgEKg0IACoGCAowrqkBMKBFMMGBAg?hl=en-IN&gl=IN&ceid=IN%3Aen
